1,2,3,4,5,6,7,8,9,10,victories,total_score
0,3,11,0,0,23,0,4,35,24,2793.5,107141.5
0,0,0,15,20,2,3,0,34,26,2796.0,106185.5
3,3,8,13,11,22,2,3,29,6,2804.0,115690.5
0,0,14,0,0,24,1,0,36,25,2814.5,102302.5
0,3,10,1,0,22,2,2,35,25,2797.5,109664.5
3,1,1,13,2,22,4,26,6,22,2839.0,114183.5
0,3,8,9,13,22,0,4,35,6,2787.0,114878.5
0,3,11,4,6,23,3,3,35,12,2795.0,114336.0
0,0,13,0,0,25,1,2,33,26,2828.0,104589.0
3,3,8,1,2,23,3,4,32,21,2822.5,113544.5
0,0,13,0,0,23,0,1,34,29,2790.5,102989.5
0,0,2,15,21,1,3,0,35,23,2814.5,107515.5
0,3,2,15,18,4,0,3,33,22,2791.0,110489.0
0,0,12,0,0,23,0,0,32,33,2787.0,102366.0
0,0,15,1,1,24,0,2,34,23,2815.0,105145.5
0,0,15,0,2,23,3,0,33,24,2797.5,105598.5
0,0,11,0,3,24,5,1,32,24,2840.5,108476.5
0,0,15,0,2,24,2,0,34,23,2792.0,104932.0
0,0,11,0,0,24,4,0,34,27,2789.5,105372.0
0,0,14,1,0,23,0,2,32,28,2804.0,104319.0
0,3,2,13,2,23,0,29,6,22,2825.5,113197.0
0,0,12,0,0,25,1,0,32,30,2788.0,102683.5
3,0,6,8,13,23,4,3,35,5,2830.0,115293.5
0,0,0,15,18,2,4,5,33,23,2822.0,109183.5
3,1,6,12,13,22,2,6,29,6,2801.0,115623.0
0,0,0,15,19,3,3,4,33,23,2811.0,108997.5
2,3,1,15,18,2,3,4,31,21,2802.0,111898.0
0,0,11,0,0,23,1,0,33,32,2822.0,104122.0
0,0,12,0,1,26,0,0,36,25,2796.0,102725.5
0,0,12,0,0,24,0,0,32,32,2799.0,102201.0
